Price,Open,High,Low,Close,Volume
Ticker,SF,SF,SF,SF,SF
Date,,,,,
2021-01-04,47.275998291306095,47.51748512502056,44.953994515566045,45.47412109375,699700
2021-01-05,44.51744473822558,45.808477924556676,44.3223973236926,45.297637939453125,674100
2021-01-06,46.35648533527312,49.040721254623314,46.105708490971296,48.214088439941406,851200
2021-01-07,48.72492771673709,49.44010532446019,48.42771150873485,48.94784164428711,554500
2021-01-08,49.32864033981192,49.32864033981192,47.64750861826124,48.62274932861328,444500
2021-01-11,47.8982893405687,49.02213821768458,47.8982893405687,48.88282012939453,393700
2021-01-12,49.2171862537152,49.58870467660075,48.93854300768097,49.44938659667969,433800
2021-01-13,48.95712260113098,48.95712260113098,47.10880973668905,47.814697265625,750700
2021-01-14,48.167638475065374,48.353399453288,47.656798442275125,48.00045394897461,556100
2021-01-15,48.00045486953293,48.87352687789839,46.858029614733766,48.43699264526367,658700
2021-01-19,48.76206619479645,49.12429811963393,47.80540202990819,48.994266510009766,555300
2021-01-20,49.022129564087734,49.88591502277273,48.71562698947776,49.64442825317383,618700
2021-01-21,49.66300802288045,50.015949975645206,49.142878004932975,49.152164459228516,687200
2021-01-22,48.381260654031564,48.70633969713701,47.73109902472483,48.55773162841797,415500
2021-01-25,47.842559764083276,48.59489019261029,47.28528032723854,48.52058792114258,560900
2021-01-26,48.789936824964705,48.789936824964705,47.67537796992126,47.8239860534668,475800
2021-01-27,46.67226343691499,47.69394340834552,45.864207330671,46.467926025390625,760400
2021-01-28,47.18311501574105,48.864246989308796,46.978781097106534,48.41842269897461,1319700
2021-01-29,50.06240197340999,50.61039499691754,47.6010765956175,48.1304931640625,1406400
2021-02-01,48.60418178237125,49.39366160093305,47.71252969389056,49.13359832763672,996600
2021-02-02,49.988084061244564,50.61966920820747,49.55154633061253,49.74659729003906,557800
2021-02-03,49.36580052340282,50.29460201175962,49.245055337849415,49.32864761352539,609600
2021-02-04,49.63514114384977,50.5639424615774,49.37507790867671,50.24814987182617,423200
2021-02-05,50.87044518197398,51.3627087135313,49.94164392660055,51.26054000854492,425600
2021-02-08,51.45559792446774,51.89213216423095,51.07478949998285,51.8642692565918,272600
2021-02-09,51.74352480419445,52.25436486222386,51.01906085073805,52.040740966796875,483200
2021-02-10,52.235781096782475,52.83021329845416,51.76209050019727,52.635162353515625,499500
2021-02-11,52.6723270233564,53.57326552335224,52.2543656809307,53.51753616333008,648400
2021-02-12,53.55468531148974,54.622808273493916,53.3410614277081,54.297725677490234,484900
2021-02-16,54.79927796708777,54.96646248840113,53.879763099864284,54.56707763671875,898400
2021-02-17,54.13053939091852,54.56707714184394,53.712581634521484,53.712581634521484,657900
2021-02-18,53.48967590839073,53.8704843630262,52.76521190764432,53.39679718017578,466400
2021-02-19,53.53610523459767,54.95717005979879,53.45251297763903,54.94788360595703,659700
2021-02-22,54.91073207207575,56.76833467911711,54.659955294953676,56.26678466796875,521500
2021-02-23,56.32251924799353,57.46494460402767,55.802392704619756,57.167728424072266,790800
2021-02-24,57.54853116741514,59.879824555108826,57.16772275317899,59.83338165283203,706500
2021-02-25,59.87982589624395,60.594999838457284,58.375165114794825,58.523773193359375,778600
2021-02-26,58.486526748888465,59.20341074424706,55.861057338120816,56.86655807495117,1855100
2021-03-01,58.14205021201038,60.10649437760464,58.002396150473444,59.61305618286133,686900
2021-03-02,59.36169420308912,59.585140040925076,58.11413019142021,58.14206314086914,515600
2021-03-03,58.73790029728965,60.05994713094669,58.41204555917891,59.06375503540039,461400
2021-03-04,58.989281382828544,59.65961525585407,56.689666552960915,57.918609619140625,659400
2021-03-05,59.28720356524774,59.37099529486159,55.81450819622978,58.69135284423828,859800
2021-03-08,59.557204501676445,61.242344296699855,59.11962503812636,60.29270935058594,597500
2021-03-09,59.855135011408635,60.73959907716865,58.29102482858831,60.16237258911133,564300
2021-03-10,60.42304150976929,61.279575966535496,60.42304150976929,60.87923812866211,359500
2021-03-11,60.47891454011081,61.894065552893714,60.283401657378036,61.50303268432617,445400
2021-03-12,62.6016321812848,63.23472454208502,61.89406379805652,62.59232711791992,722600
2021-03-15,62.60163200088301,63.06714087945047,61.624067617752424,62.64818572998047,379500
2021-03-16,62.20129049007225,62.42473985311733,61.26096772388772,61.92198944091797,504600
2021-03-17,62.46197212572171,63.04851780432206,61.558890951632755,63.01127624511719,437100
2021-03-18,63.56988814689333,64.18436324541301,61.83819463683056,62.08026123046875,513400
2021-03-19,61.679919001907294,62.089569038836785,60.28339253393958,60.413734436035156,1684300
2021-03-22,60.0971951693839,60.53476752027263,59.40824051107301,59.752716064453125,529100
2021-03-23,59.03583096987792,59.58513154335525,57.25758734244294,57.70447540283203,635200
2021-03-24,58.53308320448866,59.464100926755606,57.18310679689144,57.2203483581543,585100
2021-03-25,56.96897471608396,59.45479394981139,56.44760705024664,59.20341873168945,825200
2021-03-26,60.11581336371959,60.693046902122504,59.073074520991256,60.23684310913086,608800
2021-03-29,59.41754478816366,60.20890835205376,57.993088952541335,58.58893966674805,410800
2021-03-30,58.99859504322213,60.078575513495295,58.6261900664509,59.79927444458008,356600
2021-03-31,59.97616198519583,60.46029519482926,59.482723712259194,59.640995025634766,497900
2021-04-01,59.94822611825641,61.27026948098905,59.91098455975818,61.242340087890625,302700
2021-04-05,62.04301966967045,62.30370349215708,61.51233985872228,62.08026123046875,400100
2021-04-06,62.17336545210769,62.85301154856686,60.96304661475969,61.5775146484375,522900
2021-04-07,61.71717498762245,61.968546685255006,61.10269978858327,61.87544631958008,365600
2021-04-08,61.81025831541585,62.26645495364506,60.70234509090143,62.18266677856445,419400
2021-04-09,62.89024900405867,62.89024900405867,61.62406435318387,62.47128677368164,470200
2021-04-12,62.65749305559069,63.63505736319604,62.4805974224092,63.49540328979492,474800
