time,ret1,ret2,ret3,ret4,ret5,ret6,ret7,ret8,ret9,ret10,ret11,ret12,ret13,ret14,ret15,ret16,ret17,ret18,ret19,ret20,ret21,ret22,ret23
-21,0.00883,-0.00035,0.004161,-0.000854,-0.013394,0,0.05625,-0.01506,-0.034296,0.005448,0.001821,0.07619,0.092308,0.006341,0.006871,0.021797,-0.016206,0.050382,-0.029438,0.050574,0.007904,-0.019834,-0.005971
-20,-0.010066,-0.007355,-0.011913,0.009183,-0.004092,-0.051724,0.031558,-0.067278,-0.007477,0.010045,-0.024152,0.014749,0.004024,-0.0054,-0.004905,0.004595,0.008123,0.011945,-0.004498,-0.008899,0.001086,-0.004047,0.005106
-19,0.004863,-0.008469,0.004368,0.007089,-0.021662,-0.072727,0.007648,-0.022951,0.002825,0.028349,0.016642,0.031977,0.014028,-0.017195,-0.008358,0.015518,-0.01619,-0.006271,0.008804,0.000757,-0.003822,-0.020704,0.001793
-18,-0.036727,-0.008185,-0.014092,-0.022379,-0.000095,-0.058824,0.068311,0.067114,0.046009,0.026653,-0.031254,-0.012676,-0.019763,0.038674,-0.001081,-0.012225,0.006353,-0.000742,0.018144,0.015242,0.008147,0.033985,0.007457
-17,-0.000694,-0.009867,0.004235,0.003117,-0.012026,-0.0625,0.060391,0.037736,0.001795,0.008938,-0.000179,-0.024251,-0.002016,-0.006206,0.000865,-0.011236,-0.030195,-0.002043,-0.003158,0.001384,-0.005028,0.002484,0.00148
-16,-0.017367,-0.011959,0.002811,-0.002464,-0.018452,0,-0.035176,-0.00303,0.027778,-0.007352,0.016108,0.013158,-0.058586,0.000892,0.001297,0.024704,0.020312,0.013586,-0.007128,0.003083,-0.012939,-0.008578,0.005765
-15,-0.011628,0.001834,-0.024356,-0.03716,0.008268,0.133333,0.005208,-0.045593,0.005231,-0.001,-0.006568,-0.049062,-0.019313,-0.010695,-0.004534,-0.0135,-0.038355,0.021667,-0.013219,-0.00371,-0.003062,0.005576,0.001323
-14,-0.051765,-0.00659,0.02676,0.01517,-0.003417,0.019608,0.008636,0.009554,0.026019,0.012715,-0.017402,0.054628,0.02407,-0.011712,-0.004554,-0.022157,0.014307,0.006111,0.010625,-0.013512,-0.005567,-0.016826,-0.011008
-13,0.022333,0.004975,-0.000525,0.017251,-0.006465,-0.038462,0.063356,-0.037855,0.038884,0.001391,0.001676,-0.08777,0.032051,0.003646,0.006174,0.012329,-0.042474,0.006967,0.005257,0.014021,0.005212,0.013808,-0.000742
-12,-0.02767,0.004767,-0.00945,-0.008533,0.015577,-0.14,0.004831,0.042623,-0.003255,0.002266,0.009239,0.020505,0.014493,0.015441,-0.019066,-0.001646,0.021973,0.00479,0.019893,0.002021,-0.006961,0.038557,0.004307
-11,0.024963,0.017883,-0.00212,-0.017976,0.01495,-0.232558,-0.022436,0.034591,0.002449,0.013484,-0.012546,0,-0.032653,-0.088551,-0.007149,0.005275,0.031326,-0.018715,0.008694,0.009341,0.007977,0.027152,0.012718
-10,0.025816,0.000538,0,0.029177,0.004208,-0.030303,-0.040984,-0.00304,0.003257,0.015829,-0.020013,0.05255,0.00211,0.025515,-0.001575,-0.005412,-0.013196,-0.005038,-0.002873,0.005889,0.006475,-0.019241,-0.027307
-9,0.007597,-0.004838,-0.00478,-0.013366,-0.015716,0,0.015385,-0.042683,-0.01461,0.02009,0.038446,-0.024963,0.050526,0.000957,-0.006536,-0.007914,0.02081,0.006691,-0.007092,-0.013591,-0.050417,0.004217,-0.007807
-8,-0.01885,0.006302,0.01441,-0.016388,-0.008128,0.03125,-0.058923,0.015924,0.023888,0.001775,0.006116,0.021084,-0.006012,0.00478,-0.00431,0.014625,-0.07387,0.00952,-0.010603,0.002438,-0.000301,0.011503,0.006204
-7,-0.017291,-0.000716,0.001578,-0.061868,-0.021463,0.060606,0.0322,-0.015674,0,0.009934,-0.013846,-0.010325,-0.01417,-0.003806,-0.002962,-0.003931,-0.023519,-0.01726,-0.011393,-0.004123,-0.016013,0.020397,0.015338
-6,-0.016129,0.017189,0.001926,-0.005446,-0.009173,-0.057143,0.005199,-0.009554,0.004827,0.005606,-0.031125,-0.044709,0.016427,-0.024833,0.014168,0.009867,-0.0036,0.008329,0.008101,0,-0.007193,-0.012206,0.003406
