PERMNO,date,TICKER,COMNAM,RET,RETX,sprtrn
10107,2013-01-02,MSFT,MICROSOFT CORP,0.034081,0.034081,0.025403
10107,2013-01-03,MSFT,MICROSOFT CORP,-0.013396,-0.013396,-0.002086
10107,2013-01-04,MSFT,MICROSOFT CORP,-0.018716,-0.018716,0.004865
10107,2013-01-07,MSFT,MICROSOFT CORP,-0.001870,-0.001870,-0.003123
10107,2013-01-08,MSFT,MICROSOFT CORP,-0.005245,-0.005245,-0.003242
10107,2013-01-09,MSFT,MICROSOFT CORP,0.005650,0.005650,0.002656
10107,2013-01-10,MSFT,MICROSOFT CORP,-0.008989,-0.008989,0.007597
10107,2013-01-11,MSFT,MICROSOFT CORP,0.013983,0.013983,-0.000048
10107,2013-01-14,MSFT,MICROSOFT CORP,0.002236,0.002236,-0.000931
10107,2013-01-15,MSFT,MICROSOFT CORP,0.011900,0.011900,0.001129
10107,2013-01-16,MSFT,MICROSOFT CORP,-0.006248,-0.006248,0.000197
10107,2013-01-17,MSFT,MICROSOFT CORP,0.007766,0.007766,0.005643
10107,2013-01-18,MSFT,MICROSOFT CORP,0.000000,0.000000,0.003403
10107,2013-01-22,MSFT,MICROSOFT CORP,-0.003670,-0.003670,0.004428
10107,2013-01-23,MSFT,MICROSOFT CORP,0.016943,0.016943,0.001507
10107,2013-01-24,MSFT,MICROSOFT CORP,0.000724,0.000724,0.000007
10107,2013-01-25,MSFT,MICROSOFT CORP,0.009048,0.009048,0.005445
10107,2013-01-28,MSFT,MICROSOFT CORP,0.001112,0.001112,-0.001850
10107,2013-01-29,MSFT,MICROSOFT CORP,0.003547,0.003547,0.005106
10107,2013-01-30,MSFT,MICROSOFT CORP,-0.005712,-0.005712,-0.003900
10107,2013-01-31,MSFT,MICROSOFT CORP,-0.014363,-0.014363,-0.002563
10107,2013-02-01,MSFT,MICROSOFT CORP,0.017486,0.017486,0.010053
10107,2013-02-04,MSFT,MICROSOFT CORP,-0.017544,-0.017544,-0.011539
10107,2013-02-05,MSFT,MICROSOFT CORP,0.002004,0.002004,0.010416
10107,2013-02-06,MSFT,MICROSOFT CORP,-0.005637,-0.005637,0.000549
10107,2013-02-07,MSFT,MICROSOFT CORP,-0.002085,-0.002085,-0.001805
10107,2013-02-08,MSFT,MICROSOFT CORP,0.009786,0.009786,0.005658
10107,2013-02-11,MSFT,MICROSOFT CORP,0.011252,0.011252,-0.000606
10107,2013-02-12,MSFT,MICROSOFT CORP,0.000718,0.000718,0.001595
10107,2013-02-13,MSFT,MICROSOFT CORP,0.005380,0.005380,0.000592
10107,2013-02-14,MSFT,MICROSOFT CORP,0.000357,0.000357,0.000691
10107,2013-02-15,MSFT,MICROSOFT CORP,-0.001070,-0.001070,-0.001045
10107,2013-02-19,MSFT,MICROSOFT CORP,0.009461,0.001250,0.007337
10107,2013-02-20,MSFT,MICROSOFT CORP,-0.006240,-0.006240,-0.012404
10107,2013-02-21,MSFT,MICROSOFT CORP,-0.013635,-0.013635,-0.006303
10107,2013-02-22,MSFT,MICROSOFT CORP,0.009822,0.009822,0.008773
10107,2013-02-25,MSFT,MICROSOFT CORP,-0.014049,-0.014049,-0.018310
10107,2013-02-26,MSFT,MICROSOFT CORP,0.000000,0.000000,0.006109
10107,2013-02-27,MSFT,MICROSOFT CORP,0.016076,0.016076,0.012726
